type,name,url,minority_url,thomas_id,senate_committee_id,wikipedia,house_committee_id,subcommittees__name,subcommittees__thomas_id,subcommittees__wikipedia,subcommittees__address,subcommittees__phone,address,phone,rss_url,minority_rss_url,jurisdiction,jurisdiction_source
house,House Committee on Agriculture,http://agriculture.house.gov/,http://democrats.agriculture.house.gov/,HSAG,,,AG,Conservation and Forestry,15,,"1301 LHOB; Washington, DC 20515",(202) 225-2171,"1301 LHOB; Washington, DC 20515-6001",(202) 225-2171,http://agriculture.house.gov/rss.xml,http://democrats.agriculture.house.gov/Rss.aspx?GroupID=1,"The House Committee on Agriculture has legislative jurisdiction over agriculture, food, rural development, and forestry.",https://agriculture.house.gov/issuesinfocus/
house,House Committee on Agriculture,http://agriculture.house.gov/,http://democrats.agriculture.house.gov/,HSAG,,,AG,"Commodity Exchanges, Energy, and Credit",22,,"1301 LHOB; Washington, DC 20515",(202) 225-2171,"1301 LHOB; Washington, DC 20515-6001",(202) 225-2171,http://agriculture.house.gov/rss.xml,http://democrats.agriculture.house.gov/Rss.aspx?GroupID=1,"The House Committee on Agriculture has legislative jurisdiction over agriculture, food, rural development, and forestry.",https://agriculture.house.gov/issuesinfocus/
house,House Committee on Agriculture,http://agriculture.house.gov/,http://democrats.agriculture.house.gov/,HSAG,,,AG,General Farm Commodities and Risk Management,16,,"1301 LHOB; Washington, DC 20515",(202) 225-2171,"1301 LHOB; Washington, DC 20515-6001",(202) 225-2171,http://agriculture.house.gov/rss.xml,http://democrats.agriculture.house.gov/Rss.aspx?GroupID=1,"The House Committee on Agriculture has legislative jurisdiction over agriculture, food, rural development, and forestry.",https://agriculture.house.gov/issuesinfocus/
house,House Committee on Agriculture,http://agriculture.house.gov/,http://democrats.agriculture.house.gov/,HSAG,,,AG,Livestock and Foreign Agriculture,29,,"1301 LHOB; Washington, DC 20515",(202) 225-2171,"1301 LHOB; Washington, DC 20515-6001",(202) 225-2171,http://agriculture.house.gov/rss.xml,http://democrats.agriculture.house.gov/Rss.aspx?GroupID=1,"The House Committee on Agriculture has legislative jurisdiction over agriculture, food, rural development, and forestry.",https://agriculture.house.gov/issuesinfocus/
house,House Committee on Agriculture,http://agriculture.house.gov/,http://democrats.agriculture.house.gov/,HSAG,,,AG,"Biotechnology, Horticulture, and Research",14,,"1301 LHOB; Washington, DC 20515",(202) 225-2171,"1301 LHOB; Washington, DC 20515-6001",(202) 225-2171,http://agriculture.house.gov/rss.xml,http://democrats.agriculture.house.gov/Rss.aspx?GroupID=1,"The House Committee on Agriculture has legislative jurisdiction over agriculture, food, rural development, and forestry.",https://agriculture.house.gov/issuesinfocus/
house,House Committee on Agriculture,http://agriculture.house.gov/,http://democrats.agriculture.house.gov/,HSAG,,,AG,Nutrition,03,,"1301 LHOB; Washington, DC 20515",(202) 225-2171,"1301 LHOB; Washington, DC 20515-6001",(202) 225-2171,http://agriculture.house.gov/rss.xml,http://democrats.agriculture.house.gov/Rss.aspx?GroupID=1,"The House Committee on Agriculture has legislative jurisdiction over agriculture, food, rural development, and forestry.",https://agriculture.house.gov/issuesinfocus/
house,House Committee on Appropriations,http://appropriations.house.gov/,http://democrats.appropriations.house.gov,HSAP,,,AP,"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",01,,"2362A RHOB; Washington, DC 20515",(202) 225-2638,"H305 CAPITOL; Washington, DC 20515-6015",(202) 225-2771,http://appropriations.house.gov/news/rss.aspx,http://democrats.appropriations.house.gov/rss.xml,"The House Committee on Appropriations is responsible for legislation allocating federal funds prior to expenditure from the treasury. Appropriations are generally limited to the levels set by the Budget Resolution drafted by the House Committee on the Budget. The Committee is also responsible for supplemental spending bills, which are sometimes needed in the middle of a fiscal year to compensate for emergency expenses.",https://appropriations.house.gov/about/
house,House Committee on Appropriations,http://appropriations.house.gov/,http://democrats.appropriations.house.gov,HSAP,,,AP,"Commerce, Justice, Science, and Related Agencies",19,,"H310 CAPITOL; Washington, DC 20515",(202) 225-3351,"H305 CAPITOL; Washington, DC 20515-6015",(202) 225-2771,http://appropriations.house.gov/news/rss.aspx,http://democrats.appropriations.house.gov/rss.xml,"The House Committee on Appropriations is responsible for legislation allocating federal funds prior to expenditure from the treasury. Appropriations are generally limited to the levels set by the Budget Resolution drafted by the House Committee on the Budget. The Committee is also responsible for supplemental spending bills, which are sometimes needed in the middle of a fiscal year to compensate for emergency expenses.",https://appropriations.house.gov/about/
house,House Committee on Appropriations,http://appropriations.house.gov/,http://democrats.appropriations.house.gov,HSAP,,,AP,Defense,02,,"H405 CAPITOL; Washington, DC 20515",(202) 225-2847,"H305 CAPITOL; Washington, DC 20515-6015",(202) 225-2771,http://appropriations.house.gov/news/rss.aspx,http://democrats.appropriations.house.gov/rss.xml,"The House Committee on Appropriations is responsible for legislation allocating federal funds prior to expenditure from the treasury. Appropriations are generally limited to the levels set by the Budget Resolution drafted by the House Committee on the Budget. The Committee is also responsible for supplemental spending bills, which are sometimes needed in the middle of a fiscal year to compensate for emergency expenses.",https://appropriations.house.gov/about/
house,House Committee on Appropriations,http://appropriations.house.gov/,http://democrats.appropriations.house.gov,HSAP,,,AP,"Energy and Water Development, and Related Agencies",10,,"2362B RHOB; Washington, DC 20515",(202) 225-3421,"H305 CAPITOL; Washington, DC 20515-6015",(202) 225-2771,http://appropriations.house.gov/news/rss.aspx,http://democrats.appropriations.house.gov/rss.xml,"The House Committee on Appropriations is responsible for legislation allocating federal funds prior to expenditure from the treasury. Appropriations are generally limited to the levels set by the Budget Resolution drafted by the House Committee on the Budget. The Committee is also responsible for supplemental spending bills, which are sometimes needed in the middle of a fiscal year to compensate for emergency expenses.",https://appropriations.house.gov/about/
