id__bioguide,id__thomas,id__govtrack,social__twitter,social__facebook,social__youtube,social__youtube_id,social__twitter_id,social__instagram,social__instagram_id
R000600,02222,412664,RepAmata,aumuaamata,,UCGdrLQbt1PYDTPsampx4t1A,3026622545,,
Y000064,02019,412428,SenToddYoung,SenatorToddYoung,RepToddYoung,UCuknj4PGn91gHDNAfboZEgQ,234128524,sentoddyoung,
E000295,02283,412667,SenJoniErnst,senjoniernst,,UCLwrmtF_84FIcK3TyMs4MIw,2856787757,senjoniernst,1582702853
T000476,02291,412668,senthomtillis,SenatorThomTillis,,UCUD9VGV4SSGWjGdbn37Ea2w,2964174789,senthomtillis,
Y000063,02021,412430,RepKevinYoder,CongressmanKevinYoder,RepYoder,UCCeYmn4A8kZEHCcAfeUW9lQ,252819642,repkevinyoder,
Y000062,01853,412211,RepJohnYarmuth,214258646163,RepJohnYarmuth,UCy5KW4yrEfEiyZRX45Eoxkg,384913290,,
Y000033,01256,400440,RepDonYoung,RepDonYoung,RepDonYoung,UCg5ZIR5-82EbJiNeI1bqT-A,37007274,,
W000809,01991,412402,Rep_SteveWomack,RepSteveWomack,CongressmanWomack,UCXJbUDLYX-wGIhRuN66hqZw,234469322,,
W000808,02004,412412,RepWilson,RepWilson,repfredericawilson,UCP5QBhng_lHv-vJgE_h7lpA,234014087,,
W000806,02002,412410,RepWebster,RepWebster,repdanwebster,UCCoX4VdU7U11eGEA0lbRtLw,281540744,,
W000805,01897,412321,MarkWarner,MarkRWarner,SenatorMarkWarner,UCwyivNlEGf4sGd1oDLfY5jw,7429102,senatorwarner,515327940
W000804,01886,412255,RobWittman,RepRobWittman,RobWittman,UCIqIb-OaTbkIdU426eYIdPg,15356407,reprobwittman,
W000802,01823,412247,SenWhitehouse,SenatorWhitehouse,SenatorWhitehouse,UCnG0N70SNBkNqvIMLodPTIA,242555999,SenWhitehouse,
W000800,01879,412239,PeterWelch,PeterWelch,reppeterwelch,UC0YfApJx6qNaAQ-ir93U8xA,1410590874,reppeterwelch,1559860900
W000798,01855,412213,RepWalberg,RepWalberg,RepWalberg,UChpf3_3Wn8f3qSJbsYXrhvg,237862972,repwalberg,
W000797,01777,400623,RepDWStweets,RepDWS,RepWassermanSchultz,UCfHQiJVvMlYbVAxrMSLdO4w,1140648348,RepDWSTweets,
W000795,01688,400433,RepJoeWilson,JoeWilson,RepJoeWilson,UC3aR1B8m7Z1uycO65yDnpCg,254082173,repjoewilson,519685522
W000791,01596,400419,RepGregWalden,repgregwalden,RepGregWalden,UCyaDp6ANSM9tvW7Y3LT_4KQ,32010840,repgregwalden,382962594
W000779,01247,300100,RonWyden,,senronwyden,UCsd3UEaoLoqX60P88BdpGGw,250188760,wydenpress,9443881
W000437,01226,400432,SenatorWicker,SenatorWicker,SenatorWicker,UCIlKHiTjSkcQP_knBcXHWSg,264219447,senatorwicker,367948073
W000187,01205,400422,RepMaxineWaters,MaxineWaters,MaxineWaters,UCOQ2js1VYFlo74n7Ns8WsLQ,36686040,repmaxinewaters,
V000128,01729,400415,ChrisVanHollen,chrisvanhollen,RepChrisVanHollen,UCkpfJWu1N9Okd6PE_NidtBQ,18137749,chrisvanhollen,268595235
V000108,01188,400417,RepVisclosky,repvisclosky,PeteVisclosky1,UC9njNo6tTComo9Kn7imz7Mg,193872188,,
V000081,01184,400416,NydiaVelazquez,8037068318,nydiavelazquez,UCqMKPkKeeHFOOiZ9vxhXGVg,164369297,,
U000039,01567,400413,SenatorTomUdall,senatortomudall,senatortomudall,UCADpIVS6bxOcr-uWnJCC9pQ,60828944,,
U000031,01177,400414,RepFredUpton,RepFredUpton,RepFredUpton,UCsN16IzEo4ViZNEMgeCrQ7w,124224165,,
T000470,01997,412405,RepTipton,CongressmanScottTipton,RepScottTipton,UCh9ssh1dvzpr1HOWaFm8rcg,242873057,repscotttipton,
T000469,01942,412319,RepPaulTonko,reppaultonko,reppaultonko,UC3P2SGFmmuCYRsjeso0hOQQ,84119348,reppaultonko,
T000468,01940,412318,RepDinaTitus,CongresswomanTitus,CongresswomanTitus,UC_US4jNqECuMSNrB7yVCbbw,122174004,dinatitusnv,1110185253
T000467,01952,412317,CongressmanGT,CongressmanGT,CongressmanGT,UCNWX7lbWWvnNdzVMFI9DRiQ,18967498,congressman_gt,
T000465,01884,412254,NikiInTheHouse,RepTsongas,RepTsongas,UCVyHRbyMpIF3_Xfl4LzumCA,242892689,,
T000464,01829,412244,SenatorTester,senatortester,senatorjontester,UCgXAF-CON1coZFMxQkfj0fg,515822213,,
T000463,01741,400411,RepMikeTurner,RepMikeTurner,CongressmanTurner,UC-6Ss-aZ3OPisf9GdVGtN8g,51228911,repmiketurner,
T000462,01664,400406,pattiberi,RepPatTiberi,PatTiberi,UCr9reyLip23im9SVDJ9IGAg,912608010,pattiberi,1213878120
T000461,02085,400408,SenToomey,senatortoomey,sentoomey,UCDUM4FFU1p-_YuHqmBglyXw,221162525,,
T000460,01593,400403,RepThompson,RepMikeThompson,CongressmanMThompson,UC6pGbtqHZYZmScFGSz5bbdg,303861808,,
T000250,01534,400546,SenJohnThune,,johnthune,UCRu6lpRfxhkDGUrKDgQNZYQ,296361085,senjohnthune,
T000238,01155,400404,MacTXPress,repmacthornberry,RepMacThornberry,UCIfCqubtIZnQDwDS8YNmL2A,377534571,,
T000193,01151,400402,BennieGThompson,CongressmanBennieGThompson,RepBennieThompson,UCzt2pBxh0dI24kYrWretXRw,82453460,benniegthompson,347410575
S001189,02009,412417,AustinScottGA08,RepAustinScott,RepAustinScott,UC5M7eKHKQStktMyjieiHYZQ,234797704,,
S001187,02047,412461,RepSteveStivers,116058275133542,RepSteveStivers,UCfZrE20pIcR-LeFUV7r2Ixw,211420609,RepSteveStivers,
S001185,01988,412396,RepTerriSewell,RepSewell,RepSewell,UCHkEHtfrfUWOFtbUFQTQH7Q,381152398,,
S001184,02056,412471,SenatorTimScott,SenatorTimScott,SenatorTimScott,UCSfAsbG80CNInSKrtpKoL-w,217543151,SenatorTimScott,
S001183,01994,412399,RepDavid,repdavidschweikert,RepDavidSchweikert,UCVvuNVzkOUp7p_Pzkc6Zuvw,229197216,repdavid,181147397
S001181,01901,412323,SenatorShaheen,SenatorShaheen,senatorshaheen,UCjLZAZMbDrybHyttdEC9LFA,109287731,senatorshaheen,
S001180,01950,412315,RepSchrader,repschrader,repkurtschrader,UCrWRXVaGJtcImc_kknuDsAw,20545793,,
S001177,01962,412312,,153423912663,CongressmanSablan,UC-fbzxBSiC98eAE2goaANVQ,,kilili_sablan,
S001176,01892,412261,SteveScalise,RepSteveScalise,RepSteveScalise,UCmYveHBVXVBRxl7GiCL-gjw,1209417007,stevescalise,1210937919
S001175,01890,412259,RepSpeier,JackieSpeier,jackiespeierca12,UCevmyTb0HSO8irVaR2gYyoA,24913074,jackiespeier,
S001172,01860,412217,RepAdrianSmith,,RepAdrianSmith,UCIgn2z-hwxx_aeggnyhv54Q,296245061,,
S001165,01818,412186,RepSires,81058818750,RepSiresNJ13,UCfdEcWPNGoIxpYoTANF4PBA,18696134,,
S001157,01722,400363,RepDavidScott,113303673339,RepDavidScott,UCgf28zRkLSqAUiPuJhGdF0w,168673083,,
S001156,01757,400355,RepLindaSanchez,CongresswomanLindaSanchez,LindaTSanchez,UCu1K6uHxjMgj2mvzM7O9-ow,312134473,,
S001154,01681,409888,RepBillShuster,Rep.Shuster,repshuster,UCEfLAXoX-pV3ETccADGOdXg,22527499,,
S001150,01635,400361,RepAdamSchiff,RepAdamSchiff,adamschiff,UCadiUi-KZoFk1K5ZDsluLcA,29501253,RepAdamSchiff,
