committee,name,party,rank,title,thomas,bioguide,chamber
HSFA,Michael T. McCaul,majority,7,,01804,M001157,
HSFA,Ted Poe,majority,8,,01802,P000592,
HSFA,Darrell E. Issa,majority,9,,01640,I000056,
HSFA,Tom Marino,majority,10,,02053,M001179,
HSFA,Mo Brooks,majority,11,,01987,B001274,
HSFA,Paul Cook,majority,12,,02103,C001094,
HSFA,Scott Perry,majority,13,,02157,P000605,
HSFA,Ron DeSantis,majority,14,,02116,D000621,
HSFA,Mark Meadows,majority,15,,02142,M001187,
HSFA,Ted S. Yoho,majority,16,,02115,Y000065,
HSFA,Adam Kinzinger,majority,17,,02014,K000378,
HSFA,Lee M. Zeldin,majority,18,,02261,Z000017,
HSFA,"Daniel M. Donovan, Jr.",majority,19,,02293,D000625,
HSFA,"F. James Sensenbrenner, Jr.",majority,20,,01041,S000244,
HSFA,Ann Wagner,majority,21,,02137,W000812,
HSFA,Brian J. Mast,majority,22,,,M001199,
HSFA,Francis Rooney,majority,23,,,R000607,
HSFA,Brian K. Fitzpatrick,majority,24,,,F000466,
HSFA,"Thomas A. Garrett, Jr.",majority,25,,,G000580,
HSFA,Eliot L. Engel,minority,1,Ranking Member,00344,E000179,
HSFA,Brad Sherman,minority,2,,01526,S000344,
HSFA,Gregory W. Meeks,minority,3,,01506,M001137,
HSFA,Albio Sires,minority,4,,01818,S001165,
HSFA,Gerald E. Connolly,minority,5,,01959,C001078,
HSFA,Theodore E. Deutch,minority,6,,01976,D000610,
HSFA,Karen Bass,minority,7,,01996,B001270,
HSFA,William R. Keating,minority,8,,02025,K000375,
HSFA,David N. Cicilline,minority,9,,02055,C001084,
HSFA,Ami Bera,minority,10,,02102,B001287,
HSFA,Lois Frankel,minority,11,,02119,F000462,
HSFA,Tulsi Gabbard,minority,12,,02122,G000571,
HSFA,Joaquin Castro,minority,13,,02163,C001091,
HSFA,Robin L. Kelly,minority,14,,02190,K000385,
HSFA,Brendan F. Boyle,minority,15,,02267,B001296,
HSFA,Dina Titus,minority,16,,01940,T000468,
HSFA,Norma J. Torres,minority,17,,02231,T000474,
HSFA,Bradley Scott Schneider,minority,18,,02124,S001190,
HSFA,Thomas R. Suozzi,minority,19,,,S001201,
HSFA,Adriano Espaillat,minority,20,,,E000297,
HSFA,Ted Lieu,minority,21,,02230,L000582,
HSFA05,Ted S. Yoho,majority,1,Chair,02115,Y000065,
HSFA05,Dana Rohrabacher,majority,2,,00979,R000409,
HSFA05,Steve Chabot,majority,3,,00186,C000266,
HSFA05,Tom Marino,majority,4,,02053,M001179,
HSFA05,Mo Brooks,majority,5,,01987,B001274,
HSFA05,Scott Perry,majority,6,,02157,P000605,
HSFA05,Adam Kinzinger,majority,7,,02014,K000378,
HSFA05,Ann Wagner,majority,8,,02137,W000812,
HSFA05,Brad Sherman,minority,1,Ranking Member,01526,S000344,
HSFA05,Ami Bera,minority,2,,02102,B001287,
HSFA05,Dina Titus,minority,3,,01940,T000468,
HSFA05,Gerald E. Connolly,minority,4,,01959,C001078,
HSFA05,Theodore E. Deutch,minority,5,,01976,D000610,
HSFA05,Tulsi Gabbard,minority,6,,02122,G000571,
HSFA07,Christopher H. Smith,majority,2,,01071,S000522,
HSFA07,Ileana Ros-Lehtinen,majority,3,,00985,R000435,
HSFA07,Michael T. McCaul,majority,4,,01804,M001157,
HSFA07,Mo Brooks,majority,5,,01987,B001274,
HSFA07,Ron DeSantis,majority,6,,02116,D000621,
HSFA07,Ted S. Yoho,majority,7,,02115,Y000065,
HSFA07,Francis Rooney,majority,8,,,R000607,
HSFA07,Albio Sires,minority,1,Ranking Member,01818,S001165,
HSFA07,Joaquin Castro,minority,2,,02163,C001091,
HSFA07,Robin L. Kelly,minority,3,,02190,K000385,
HSFA07,Norma J. Torres,minority,4,,02231,T000474,
HSFA07,Adriano Espaillat,minority,5,,,E000297,
HSFA07,Gregory W. Meeks,minority,6,,01506,M001137,
HSFA13,Ileana Ros-Lehtinen,majority,1,Chair,00985,R000435,
HSFA13,Steve Chabot,majority,2,,00186,C000266,
HSFA13,Darrell E. Issa,majority,3,,01640,I000056,
HSFA13,Ron DeSantis,majority,4,,02116,D000621,
HSFA13,Mark Meadows,majority,5,,02142,M001187,
HSFA13,Paul Cook,majority,6,,02103,C001094,
HSFA13,Adam Kinzinger,majority,7,,02014,K000378,
HSFA13,Lee M. Zeldin,majority,8,,02261,Z000017,
HSFA13,"Daniel M. Donovan, Jr.",majority,9,,02293,D000625,
HSFA13,Ann Wagner,majority,10,,02137,W000812,
HSFA13,Brian J. Mast,majority,11,,,M001199,
HSFA13,Brian K. Fitzpatrick,majority,12,,,F000466,
HSFA13,Theodore E. Deutch,minority,1,Ranking Member,01976,D000610,
HSFA13,Gerald E. Connolly,minority,2,,01959,C001078,
HSFA13,David N. Cicilline,minority,3,,02055,C001084,
HSFA13,Lois Frankel,minority,4,,02119,F000462,
HSFA13,Brendan F. Boyle,minority,5,,02267,B001296,
HSFA13,Tulsi Gabbard,minority,6,,02122,G000571,
HSFA13,Bradley Scott Schneider,minority,7,,02124,S001190,
HSFA13,Thomas R. Suozzi,minority,8,,,S001201,
HSFA13,Ted Lieu,minority,9,,02230,L000582,
HSFA14,Dana Rohrabacher,majority,1,Chair,00979,R000409,
HSFA14,Joe Wilson,majority,2,,01688,W000795,
HSFA14,Ted Poe,majority,3,,01802,P000592,
HSFA14,Tom Marino,majority,4,,02053,M001179,
HSFA14,"F. James Sensenbrenner, Jr.",majority,5,,01041,S000244,
HSFA14,Francis Rooney,majority,6,,,R000607,
HSFA14,Brian K. Fitzpatrick,majority,7,,,F000466,
HSFA14,Gregory W. Meeks,minority,1,Ranking Member,01506,M001137,
HSFA14,Brad Sherman,minority,2,,01526,S000344,
HSFA14,Albio Sires,minority,3,,01818,S001165,
HSFA14,William R. Keating,minority,4,,02025,K000375,
HSFA14,David N. Cicilline,minority,5,,02055,C001084,
HSFA14,Robin L. Kelly,minority,6,,02190,K000385,
HSFA16,Christopher H. Smith,majority,1,Chair,01071,S000522,
HSFA16,Mark Meadows,majority,2,,02142,M001187,
HSFA16,"Daniel M. Donovan, Jr.",majority,3,,02293,D000625,
HSFA16,"F. James Sensenbrenner, Jr.",majority,4,,01041,S000244,
HSFA16,"Thomas A. Garrett, Jr.",majority,5,,,G000580,
HSFA16,Karen Bass,minority,1,Ranking Member,01996,B001270,
HSFA16,Ami Bera,minority,2,,02102,B001287,
HSFA16,Joaquin Castro,minority,3,,02163,C001091,
HSFA16,Thomas R. Suozzi,minority,4,,,S001201,
HSFA18,Ted Poe,majority,1,Chair,01802,P000592,
HSFA18,Joe Wilson,majority,2,,01688,W000795,
HSFA18,Darrell E. Issa,majority,3,,01640,I000056,
HSFA18,Paul Cook,majority,4,,02103,C001094,
HSFA18,Scott Perry,majority,5,,02157,P000605,
HSFA18,Lee M. Zeldin,majority,6,,02261,Z000017,
HSFA18,Brian J. Mast,majority,7,,,M001199,
HSFA18,"Thomas A. Garrett, Jr.",majority,8,,,G000580,
HSFA18,William R. Keating,minority,1,Ranking Member,02025,K000375,
HSFA18,Lois Frankel,minority,2,,02119,F000462,
HSFA18,Brendan F. Boyle,minority,3,,02267,B001296,
HSFA18,Dina Titus,minority,4,,01940,T000468,
HSFA18,Norma J. Torres,minority,5,,02231,T000474,
HSFA18,Bradley Scott Schneider,minority,6,,02124,S001190,
HSGO,Trey Gowdy,majority,1,Chair,02058,G000566,
HSGO,"John J. Duncan, Jr.",majority,2,,00322,D000533,
HSGO,Darrell E. Issa,majority,3,,01640,I000056,
HSGO,Jim Jordan,majority,4,,01868,J000289,
HSGO,Mark Sanford,majority,5,,01012,S000051,
HSGO,Justin Amash,majority,6,,02029,A000367,
HSGO,Paul A. Gosar,majority,7,,01992,G000565,
HSGO,Scott DesJarlais,majority,8,,02062,D000616,
HSGO,Blake Farenthold,majority,9,,02067,F000460,
HSGO,Virginia Foxx,majority,10,,01791,F000450,
HSGO,Thomas Massie,majority,11,,02094,M001184,
HSGO,Mark Meadows,majority,12,,02142,M001187,
HSGO,Ron DeSantis,majority,13,,02116,D000621,
HSGO,Dennis A. Ross,majority,14,,02003,R000593,
HSGO,Mark Walker,majority,15,,02255,W000819,
HSGO,Rod Blum,majority,16,,02241,B001294,
HSGO,Jody B. Hice,majority,17,,02237,H001071,
HSGO,Steve Russell,majority,18,,02265,R000604,
HSGO,Glenn Grothman,majority,19,,02276,G000576,
HSGO,Will Hurd,majority,20,,02269,H001073,
HSGO,Gary J. Palmer,majority,21,,02221,P000609,
HSGO,James Comer,majority,22,,,C001108,
HSGO,Paul Mitchell,majority,23,,,M001201,
HSGO,Greg Gianforte,majority,24,,,G000584,
HSGO,Elijah E. Cummings,minority,1,Ranking Member,00256,C000984,
HSGO,Carolyn B. Maloney,minority,2,,00729,M000087,
HSGO,Eleanor Holmes Norton,minority,3,,00868,N000147,
HSGO,Wm. Lacy Clay,minority,4,,01654,C001049,
HSGO,Stephen F. Lynch,minority,5,,01686,L000562,
HSGO,Jim Cooper,minority,6,,00231,C000754,
HSGO,Gerald E. Connolly,minority,7,,01959,C001078,
HSGO,Robin L. Kelly,minority,8,,02190,K000385,
HSGO,Brenda L. Lawrence,minority,9,,02252,L000581,
HSGO,Bonnie Watson Coleman,minority,10,,02259,W000822,
HSGO,Stacey E. Plaskett,minority,11,,02274,P000610,
HSGO,Val Butler Demings,minority,12,,,D000627,
HSGO,Raja Krishnamoorthi,minority,13,,,K000391,
HSGO,Jamie Raskin,minority,14,,,R000606,
HSGO,Peter Welch,minority,15,,01879,W000800,
HSGO,Matt Cartwright,minority,16,,02159,C001090,
HSGO,Mark DeSaulnier,minority,17,,02227,D000623,
HSGO,Jimmy Gomez,minority,18,,,G000585,
HSGO06,Ron DeSantis,majority,1,Chair,02116,D000621,
HSGO06,Steve Russell,majority,2,Vice Chair,02265,R000604,
HSGO06,"John J. Duncan, Jr.",majority,3,,00322,D000533,
HSGO06,Justin Amash,majority,4,,02029,A000367,
HSGO06,Paul A. Gosar,majority,5,,01992,G000565,
HSGO06,Virginia Foxx,majority,6,,01791,F000450,
HSGO06,Jody B. Hice,majority,7,,02237,H001071,
HSGO06,James Comer,majority,8,,,C001108,
HSGO06,Stephen F. Lynch,minority,1,Ranking Member,01686,L000562,
HSGO06,Val Butler Demings,minority,2,,,D000627,
HSGO06,Peter Welch,minority,3,,01879,W000800,
HSGO06,Mark DeSaulnier,minority,4,,02227,D000623,
HSGO06,Jimmy Gomez,minority,5,,,G000585,
HSGO24,Mark Meadows,majority,1,Chair,02142,M001187,
HSGO24,Jody B. Hice,majority,2,Vice Chair,02237,H001071,
HSGO24,Jim Jordan,majority,3,,01868,J000289,
HSGO24,Mark Sanford,majority,4,,01012,S000051,
HSGO24,Thomas Massie,majority,5,,02094,M001184,
HSGO24,Ron DeSantis,majority,6,,02116,D000621,
HSGO24,Dennis A. Ross,majority,7,,02003,R000593,
HSGO24,Rod Blum,majority,8,,02241,B001294,
HSGO24,Gerald E. Connolly,minority,1,Ranking Member,01959,C001078,
HSGO24,Carolyn B. Maloney,minority,2,,00729,M000087,
HSGO24,Eleanor Holmes Norton,minority,3,,00868,N000147,
HSGO24,Wm. Lacy Clay,minority,4,,01654,C001049,
HSGO24,Brenda L. Lawrence,minority,5,,02252,L000581,
HSGO24,Bonnie Watson Coleman,minority,6,,02259,W000822,
HSGO25,Will Hurd,majority,1,Chair,02269,H001073,
HSGO25,Paul Mitchell,majority,2,Vice Chair,,M001201,
HSGO25,Darrell E. Issa,majority,3,,01640,I000056,
HSGO25,Justin Amash,majority,4,,02029,A000367,
HSGO25,Blake Farenthold,majority,5,,02067,F000460,
HSGO25,Steve Russell,majority,6,,02265,R000604,
HSGO25,Greg Gianforte,majority,7,,,G000584,
HSGO25,Robin L. Kelly,minority,1,Ranking Member,02190,K000385,
HSGO25,Jamie Raskin,minority,2,,,R000606,
HSGO25,Stephen F. Lynch,minority,3,,01686,L000562,
HSGO25,Gerald E. Connolly,minority,4,,01959,C001078,
HSGO25,Raja Krishnamoorthi,minority,5,,,K000391,
HSGO27,Jim Jordan,majority,1,Chair,01868,J000289,
HSGO27,Mark Walker,majority,2,Vice Chair,02255,W000819,
HSGO27,Darrell E. Issa,majority,3,,01640,I000056,
HSGO27,Mark Sanford,majority,4,,01012,S000051,
HSGO27,Scott DesJarlais,majority,5,,02062,D000616,
HSGO27,Mark Meadows,majority,6,,02142,M001187,
HSGO27,Glenn Grothman,majority,7,,02276,G000576,
HSGO27,Paul Mitchell,majority,8,,,M001201,
HSGO27,Raja Krishnamoorthi,minority,1,Ranking Member,,K000391,
HSGO27,Jim Cooper,minority,2,,00231,C000754,
HSGO27,Eleanor Holmes Norton,minority,3,,00868,N000147,
HSGO27,Robin L. Kelly,minority,4,,02190,K000385,
HSGO27,Bonnie Watson Coleman,minority,5,,02259,W000822,
HSGO27,Stacey E. Plaskett,minority,6,,02274,P000610,
HSGO28,Blake Farenthold,majority,1,Chair,02067,F000460,
HSGO28,Paul A. Gosar,majority,2,Vice Chair,01992,G000565,
HSGO28,Dennis A. Ross,majority,3,,02003,R000593,
HSGO28,Gary J. Palmer,majority,4,,02221,P000609,
HSGO28,James Comer,majority,5,,,C001108,
HSGO28,Greg Gianforte,majority,6,,,G000584,
HSGO28,Stacey E. Plaskett,minority,1,Ranking Member,02274,P000610,
HSGO28,Jamie Raskin,minority,2,,,R000606,
HSGO28,Jimmy Gomez,minority,3,,,G000585,
HSGO29,Gary J. Palmer,majority,1,Chair,02221,P000609,
HSGO29,Glenn Grothman,majority,2,Vice Chair,02276,G000576,
HSGO29,"John J. Duncan, Jr.",majority,3,,00322,D000533,
HSGO29,Virginia Foxx,majority,4,,01791,F000450,
HSGO29,Thomas Massie,majority,5,,02094,M001184,
HSGO29,Mark Walker,majority,6,,02255,W000819,
HSGO29,Mark Sanford,majority,7,,01012,S000051,
HSGO29,Val Butler Demings,minority,1,Ranking Member,,D000627,
HSGO29,Mark DeSaulnier,minority,2,,02227,D000623,
HSGO29,Matt Cartwright,minority,3,,02159,C001090,
HSGO29,Wm. Lacy Clay,minority,4,,01654,C001049,
HSHA,Gregg Harper,majority,1,Chair,01933,H001045,
HSHA,Rodney Davis,majority,2,,02126,D000619,
HSHA,Barbara Comstock,majority,3,,02273,C001105,
HSHA,Mark Walker,majority,4,,02255,W000819,
HSHA,Adrian Smith,majority,5,,01860,S001172,
HSHA,Barry Loudermilk,majority,6,,02238,L000583,
HSHA,Robert A. Brady,minority,1,Ranking Member,01469,B001227,
HSHA,Zoe Lofgren,minority,2,,00701,L000397,
HSHA,Jamie Raskin,minority,3,,,R000606,
HSHM,Michael T. McCaul,majority,1,Chair,01804,M001157,
HSHM,Lamar Smith,majority,2,,01075,S000583,
HSHM,Peter T. King,majority,3,,00635,K000210,
HSHM,Mike Rogers,majority,4,,01704,R000575,
HSHM,Lou Barletta,majority,5,,02054,B001269,
HSHM,Scott Perry,majority,6,,02157,P000605,
HSHM,John Katko,majority,7,,02264,K000386,
HSHM,Will Hurd,majority,8,,02269,H001073,
HSHM,Martha McSally,majority,9,,02225,M001197,
HSHM,John Ratcliffe,majority,10,,02268,R000601,
HSHM,"Daniel M. Donovan, Jr.",majority,11,,02293,D000625,
HSHM,Mike Gallagher,majority,12,,,G000579,
HSHM,Clay Higgins,majority,13,,,H001077,
HSHM,John H. Rutherford,majority,14,,,R000609,
HSHM,"Thomas A. Garrett, Jr.",majority,15,,,G000580,
HSHM,Brian K. Fitzpatrick,majority,16,,,F000466,
HSHM,Ron Estes,majority,17,,,E000298,
HSHM,Bennie G. Thompson,minority,1,Ranking Member,01151,T000193,
HSHM,Sheila Jackson Lee,minority,2,,00588,J000032,
HSHM,James R. Langevin,minority,3,,01668,L000559,
HSHM,Cedric L. Richmond,minority,4,,02023,R000588,
HSHM,William R. Keating,minority,5,,02025,K000375,
HSHM,"Donald M. Payne, Jr.",minority,6,,02097,P000604,
HSHM,Filemon Vela,minority,7,,02167,V000132,
HSHM,Bonnie Watson Coleman,minority,8,,02259,W000822,
HSHM,Kathleen M. Rice,minority,9,,02262,R000602,
HSHM,J. Luis Correa,minority,10,,,C001110,
HSHM,Val Butler Demings,minority,11,,,D000627,
HSHM,Nanette Diaz Barragán,minority,12,,,B001300,
HSHM05,Peter T. King,majority,1,Chair,00635,K000210,
HSHM05,Lou Barletta,majority,2,,02054,B001269,
HSHM05,Scott Perry,majority,3,,02157,P000605,
HSHM05,Will Hurd,majority,4,,02269,H001073,
HSHM05,Mike Gallagher,majority,5,,,G000579,
HSHM05,Michael T. McCaul,majority,6,Ex Officio,01804,M001157,
HSHM05,Kathleen M. Rice,minority,1,Ranking Member,02262,R000602,
HSHM05,Sheila Jackson Lee,minority,2,,00588,J000032,
HSHM05,William R. Keating,minority,3,,02025,K000375,
HSHM05,Bennie G. Thompson,minority,4,Ex Officio,01151,T000193,
HSHM07,John Katko,majority,1,Chair,02264,K000386,
HSHM07,Mike Rogers,majority,2,,01704,R000575,
HSHM07,Clay Higgins,majority,3,,,H001077,
HSHM07,Brian K. Fitzpatrick,majority,4,,,F000466,
HSHM07,Ron Estes,majority,5,,,E000298,
HSHM07,Michael T. McCaul,majority,6,Ex Officio,01804,M001157,
HSHM07,Bonnie Watson Coleman,minority,1,Ranking Member,02259,W000822,
HSHM07,William R. Keating,minority,2,,02025,K000375,
HSHM07,"Donald M. Payne, Jr.",minority,3,,02097,P000604,
HSHM07,Bennie G. Thompson,minority,4,Ex Officio,01151,T000193,
HSHM08,John Ratcliffe,majority,1,Chair,02268,R000601,
HSHM08,John Katko,majority,2,,02264,K000386,
HSHM08,"Daniel M. Donovan, Jr.",majority,3,,02293,D000625,
HSHM08,Mike Gallagher,majority,4,,,G000579,
HSHM08,Clay Higgins,majority,5,,,H001077,
HSHM08,"Thomas A. Garrett, Jr.",majority,6,,,G000580,
HSHM08,Brian K. Fitzpatrick,majority,7,,,F000466,
HSHM08,Michael T. McCaul,majority,8,Ex Officio,01804,M001157,
HSHM08,Cedric L. Richmond,minority,1,Ranking Member,02023,R000588,
HSHM08,Sheila Jackson Lee,minority,2,,00588,J000032,
HSHM08,James R. Langevin,minority,3,,01668,L000559,
HSHM08,Val Butler Demings,minority,4,,,D000627,
HSHM08,Bennie G. Thompson,minority,5,Ex Officio,01151,T000193,
HSHM09,Scott Perry,majority,1,Chair,02157,P000605,
HSHM09,John Ratcliffe,majority,2,,02268,R000601,
HSHM09,Clay Higgins,majority,3,,,H001077,
HSHM09,Ron Estes,majority,4,,,E000298,
HSHM09,Michael T. McCaul,majority,6,Ex Officio,01804,M001157,
HSHM09,J. Luis Correa,minority,1,Ranking Member,,C001110,
HSHM09,Kathleen M. Rice,minority,2,,02262,R000602,
HSHM09,Nanette Diaz Barragán,minority,3,,,B001300,
HSHM09,Bennie G. Thompson,minority,4,Ex Officio,01151,T000193,
HSHM11,Martha McSally,majority,1,Chair,02225,M001197,
HSHM11,Lamar Smith,majority,2,,01075,S000583,
HSHM11,Mike Rogers,majority,3,,01704,R000575,
HSHM11,Lou Barletta,majority,4,,02054,B001269,
HSHM11,Will Hurd,majority,5,,02269,H001073,
HSHM11,John H. Rutherford,majority,6,,,R000609,
HSHM11,Michael T. McCaul,majority,8,Ex Officio,01804,M001157,
HSHM11,Filemon Vela,minority,1,Ranking Member,02167,V000132,
HSHM11,Cedric L. Richmond,minority,2,,02023,R000588,
HSHM11,J. Luis Correa,minority,3,,,C001110,
HSHM11,Val Butler Demings,minority,4,,,D000627,
HSHM11,Nanette Diaz Barragán,minority,5,,,B001300,
HSHM11,Bennie G. Thompson,minority,6,Ex Officio,01151,T000193,
HSHM12,"Daniel M. Donovan, Jr.",majority,1,Chair,02293,D000625,
HSHM12,Peter T. King,majority,2,,00635,K000210,
HSHM12,Martha McSally,majority,3,,02225,M001197,
HSHM12,John H. Rutherford,majority,4,,,R000609,
HSHM12,"Thomas A. Garrett, Jr.",majority,5,,,G000580,
HSHM12,Michael T. McCaul,majority,6,Ex Officio,01804,M001157,
HSHM12,"Donald M. Payne, Jr.",minority,1,Ranking Member,02097,P000604,
HSHM12,James R. Langevin,minority,2,,01668,L000559,
HSHM12,Bonnie Watson Coleman,minority,3,,02259,W000822,
HSHM12,Bennie G. Thompson,minority,4,Ex Officio,01151,T000193,
HSIF,Greg Walden,majority,1,Chair,01596,W000791,
HSIF,Joe Barton,majority,2,,00062,B000213,
HSIF,Fred Upton,majority,3,,01177,U000031,
HSIF,John Shimkus,majority,4,,01527,S000364,
HSIF,Michael C. Burgess,majority,5,,01751,B001248,
HSIF,Marsha Blackburn,majority,6,,01748,B001243,
HSIF,Steve Scalise,majority,7,,01892,S001176,
HSIF,Robert E. Latta,majority,8,,01885,L000566,
HSIF,Cathy McMorris Rodgers,majority,9,,01809,M001159,
HSIF,Gregg Harper,majority,10,,01933,H001045,
HSIF,Leonard Lance,majority,11,,01936,L000567,
HSIF,Brett Guthrie,majority,12,,01922,G000558,
HSIF,Pete Olson,majority,13,,01955,O000168,
HSIF,David B. McKinley,majority,14,,02074,M001180,
HSIF,Adam Kinzinger,majority,15,,02014,K000378,
HSIF,H. Morgan Griffith,majority,16,,02070,G000568,
HSIF,Gus M. Bilirakis,majority,17,,01838,B001257,
HSIF,Bill Johnson,majority,18,,02046,J000292,
HSIF,Billy Long,majority,19,,02033,L000576,
HSIF,Larry Bucshon,majority,20,,02018,B001275,
HSIF,Bill Flores,majority,21,,02065,F000461,
HSIF,Susan W. Brooks,majority,22,,02129,B001284,
HSIF,Markwayne Mullin,majority,23,,02156,M001190,
HSIF,Richard Hudson,majority,24,,02140,H001067,
HSIF,Chris Collins,majority,25,,02151,C001092,
HSIF,Kevin Cramer,majority,26,,02144,C001096,
HSIF,Tim Walberg,majority,27,,01855,W000798,
HSIF,Mimi Walters,majority,28,,02232,W000820,
HSIF,Ryan A. Costello,majority,29,,02266,C001106,
HSIF,"Earl L. ""Buddy"" Carter",majority,30,,02236,C001103,
HSIF,Jeff Duncan,majority,31,,02057,D000615,
HSIF,"Frank Pallone, Jr.",minority,1,Ranking Member,00887,P000034,
HSIF,Bobby L. Rush,minority,2,,01003,R000515,
HSIF,Anna G. Eshoo,minority,3,,00355,E000215,
HSIF,Eliot L. Engel,minority,4,,00344,E000179,
HSIF,Gene Green,minority,5,,00462,G000410,
HSIF,Diana DeGette,minority,6,,01479,D000197,
HSIF,Michael F. Doyle,minority,7,,00316,D000482,
HSIF,Janice D. Schakowsky,minority,8,,01588,S001145,
HSIF,G. K. Butterfield,minority,9,,01761,B001251,
HSIF,Doris O. Matsui,minority,10,,01814,M001163,
HSIF,Kathy Castor,minority,11,,01839,C001066,
HSIF,John P. Sarbanes,minority,12,,01854,S001168,
HSIF,Jerry McNerney,minority,13,,01832,M001166,
HSIF,Peter Welch,minority,14,,01879,W000800,
HSIF,Ben Ray Luján,minority,15,,01939,L000570,
HSIF,Paul Tonko,minority,16,,01942,T000469,
HSIF,Yvette D. Clarke,minority,17,,01864,C001067,
HSIF,David Loebsack,minority,18,,01846,L000565,
HSIF,Kurt Schrader,minority,19,,01950,S001180,
HSIF,Joseph P. Kennedy III,minority,20,,02172,K000379,
HSIF,Tony Cárdenas,minority,21,,02107,C001097,
HSIF,Raul Ruiz,minority,22,,02109,R000599,
HSIF,Scott H. Peters,minority,23,,02113,P000608,
HSIF,Debbie Dingell,minority,24,,02251,D000624,
HSIF02,H. Morgan Griffith,majority,2,Vice Chair,02070,G000568,
HSIF02,Joe Barton,majority,3,,00062,B000213,
HSIF02,Michael C. Burgess,majority,4,,01751,B001248,
HSIF02,Susan W. Brooks,majority,5,,02129,B001284,
HSIF02,Chris Collins,majority,6,,02151,C001092,
HSIF02,Tim Walberg,majority,7,,01855,W000798,
HSIF02,Mimi Walters,majority,8,,02232,W000820,
HSIF02,Ryan A. Costello,majority,9,,02266,C001106,
HSIF02,"Earl L. ""Buddy"" Carter",majority,10,,02236,C001103,
HSIF02,Greg Walden,majority,11,Ex Officio,01596,W000791,
HSIF02,Diana DeGette,minority,1,Ranking Member,01479,D000197,
HSIF02,Janice D. Schakowsky,minority,2,,01588,S001145,
HSIF02,Kathy Castor,minority,3,,01839,C001066,
HSIF02,Paul Tonko,minority,4,,01942,T000469,
HSIF02,Yvette D. Clarke,minority,5,,01864,C001067,
HSIF02,Raul Ruiz,minority,6,,02109,R000599,
HSIF02,Scott H. Peters,minority,7,,02113,P000608,
HSIF02,"Frank Pallone, Jr.",minority,8,Ex Officio,00887,P000034,
HSIF03,Fred Upton,majority,1,Chair,01177,U000031,
HSIF03,Pete Olson,majority,2,Vice Chair,01955,O000168,
HSIF03,Joe Barton,majority,3,,00062,B000213,
HSIF03,John Shimkus,majority,4,,01527,S000364,
HSIF03,Robert E. Latta,majority,5,,01885,L000566,
HSIF03,Gregg Harper,majority,6,,01933,H001045,
HSIF03,David B. McKinley,majority,7,,02074,M001180,
HSIF03,Adam Kinzinger,majority,8,,02014,K000378,
HSIF03,H. Morgan Griffith,majority,9,,02070,G000568,
HSIF03,Bill Johnson,majority,10,,02046,J000292,
HSIF03,Billy Long,majority,11,,02033,L000576,
HSIF03,Larry Bucshon,majority,12,,02018,B001275,
HSIF03,Bill Flores,majority,13,,02065,F000461,
HSIF03,Markwayne Mullin,majority,14,,02156,M001190,
HSIF03,Richard Hudson,majority,15,,02140,H001067,
HSIF03,Kevin Cramer,majority,16,,02144,C001096,
HSIF03,Tim Walberg,majority,17,,01855,W000798,
HSIF03,Greg Walden,majority,19,Ex Officio,01596,W000791,
HSIF03,Bobby L. Rush,minority,1,Ranking Member,01003,R000515,
HSIF03,Jerry McNerney,minority,2,,01832,M001166,
HSIF03,Scott H. Peters,minority,3,,02113,P000608,
HSIF03,Gene Green,minority,4,,00462,G000410,
HSIF03,Michael F. Doyle,minority,5,,00316,D000482,
HSIF03,Kathy Castor,minority,6,,01839,C001066,
HSIF03,John P. Sarbanes,minority,7,,01854,S001168,
HSIF03,Peter Welch,minority,8,,01879,W000800,
HSIF03,Paul Tonko,minority,9,,01942,T000469,
HSIF03,David Loebsack,minority,10,,01846,L000565,
HSIF03,Kurt Schrader,minority,11,,01950,S001180,
HSIF03,Joseph P. Kennedy III,minority,12,,02172,K000379,
HSIF03,G. K. Butterfield,minority,13,,01761,B001251,
HSIF03,"Frank Pallone, Jr.",minority,14,Ex Officio,00887,P000034,
HSIF14,Michael C. Burgess,majority,1,Chair,01751,B001248,
HSIF14,Brett Guthrie,majority,2,Vice Chair,01922,G000558,
HSIF14,Joe Barton,majority,3,,00062,B000213,
HSIF14,Fred Upton,majority,4,,01177,U000031,
HSIF14,John Shimkus,majority,5,,01527,S000364,
HSIF14,Marsha Blackburn,majority,6,,01748,B001243,
HSIF14,Cathy McMorris Rodgers,majority,7,,01809,M001159,
HSIF14,Leonard Lance,majority,8,,01936,L000567,
HSIF14,H. Morgan Griffith,majority,9,,02070,G000568,
HSIF14,Gus M. Bilirakis,majority,10,,01838,B001257,
HSIF14,Billy Long,majority,11,,02033,L000576,
HSIF14,Larry Bucshon,majority,12,,02018,B001275,
HSIF14,Susan W. Brooks,majority,13,,02129,B001284,
HSIF14,Markwayne Mullin,majority,14,,02156,M001190,
HSIF14,Richard Hudson,majority,15,,02140,H001067,
HSIF14,Chris Collins,majority,16,,02151,C001092,
HSIF14,"Earl L. ""Buddy"" Carter",majority,17,,02236,C001103,
HSIF14,Greg Walden,majority,19,Ex Officio,01596,W000791,
HSIF14,Gene Green,minority,1,Ranking Member,00462,G000410,
HSIF14,Eliot L. Engel,minority,2,,00344,E000179,
HSIF14,Janice D. Schakowsky,minority,3,,01588,S001145,
HSIF14,G. K. Butterfield,minority,4,,01761,B001251,
